"Auction";"From";"To";"Car";"Motorcycle"
;"INDIANAPOLIS - Indiana - IAAI";"Chicago";$200.00;$200.00
;"JACKSON - Mississippi - IAAI";"Houston";$400.00;
;"JACKSONVILLE - Florida - IAAI";"Savannah";$150.00;
;"KANSAS CITY - Kansas - IAAI";"Chicago";$350.00;$275.00
;"KNOXVILLE - Tennessee - IAAI";"Savannah";$350.00;$300.00
;"LAFAYETTE - Louisiana - IAAI";"Houston";$275.00;
;"LAS VEGAS - Nevada - IAAI";"Los Angeles";$300.00;$250.00
;"LAUREL - Maryland - IAAI";"Norfolk";$275.00;$225.00
;"LINCOLN - Illinois - IAAI";"Chicago";$250.00;$250.00
;"LITTLE ROCK - Arkansas - IAAI";"Houston";$400.00;
;"LONG ISLAND - New York - IAAI";"New York";$225.00;$175.00
;"LONGVIEW - Texas - IAAI";"Houston";$250.00;
;"LOS ANGELES - California - IAAI";"Los Angeles";$100.00;$100.00
;"LOUISVILLE - Kentucky - IAAI";"Chicago";$375.00;$275.00
;"LOUISVILLE NORTH - Kentucky - IAAI";"Chicago";$375.00;$275.00
;"LUBBOCK - Texas - IAAI";"Houston";$425.00;
;"MACON - Georgia - IAAI";"Savannah";$225.00;$175.00
;"MANCHESTER - New Hampshire - IAAI";"New York";$400.00;$300.00
;"MCALLEN - Texas - IAAI";"Houston";$350.00;
;"MEMPHIS - Tennessee - IAAI";"Savannah";$375.00;$325.00
;"METRO DC - Maryland - IAAI";"Norfolk";$275.00;$225.00
;"MIAMI - Florida - IAAI";"Miami";$100.00;$100.00
;"MIAMI-NORTH - Florida - IAAI";"Miami";$125.00;$125.00
;"MILWAUKEE - Wisconsin - IAAI";"Chicago";$175.00;$175.00
;"MINNEAPOLIS/ST. PAUL - Minnesota - IAAI";"Chicago";$400.00;$350.00
;"MISSOULA - Montana - IAAI";"Seattle";$600.00;
;"NASHVILLE - Tennessee - IAAI";"Savannah";$350.00;
;"NEW CASTLE - Delaware - IAAI";"New York";$300.00;$225.00
;"NEW ORLEANS EAST - Louisiana - IAAI";"Houston";$375.00;
;"NEWBURGH - New York - IAAI";"New York";$250.00;$175.00
;"NORTH HOLLYWOOD - California - IAAI";"Los Angeles";$150.00;$150.00
;"NORTHERN NEW JERSEY - New Jersey - IAAI";"New York";$150.00;$100.00
;"NORTHERN VIRGINIA - Virginia - IAAI";"Norfolk";$250.00;$200.00
;"New Orleans and Louisiana Flood - Louisiana - IAAI";"Houston";$375.00;
;"OKLAHOMA CITY - Oklahoma - IAAI";"Houston";$400.00;
;"OMAHA - Nebraska - IAAI";"Chicago";$400.00;$300.00
;"ORLANDO - Florida - IAAI";"Miami";$225.00;
;"ORLANDO-NORTH - Florida - IAAI";"Miami";$225.00;$225.00
;"PADUCAH - Kentucky - IAAI";"Chicago";$425.00;$375.00
;"PENSACOLA - Florida - IAAI";"Miami";$375.00;$350.00
;"PERMIAN BASIN - Texas - IAAI";"Houston";$425.00;
;"PHILADELPHIA - Pennsylvania - IAAI";"New York";$250.00;$175.00
;"PHOENIX - Arizona - IAAI";"Los Angeles";$300.00;$200.00
;"PITTSBURGH - Pennsylvania - IAAI";"New York";$450.00;$350.00
;"PITTSBURGH-NORTH - Pennsylvania - IAAI";"New York";$450.00;$350.00
;"PORTAGE - Wisconsin - IAAI";"Chicago";$250.00;$250.00
;"PORTLAND - GORHAM - Maine - IAAI";"New York";$450.00;$350.00
;"PORTLAND - Oregon - IAAI";"Seattle";$200.00;
;"PROVIDENCE - Rhode Island - IAAI";"New York";$350.00;$275.00
;"PULASKI - Virginia - IAAI";"Norfolk";$375.00;$325.00
;"Portland West - Oregon - IAAI";"Seattle";$250.00;
;"RALEIGH - North Carolina - IAAI";"Norfolk";$275.00;
;"RENO - Nevada - IAAI";"Los Angeles";$450.00;$400.00
;"RICHMOND - Virginia - IAAI";"Norfolk";$200.00;$200.00
;"ROCHESTER - New York - IAAI";"New York";$450.00;$350.00
;"ROSEDALE - Maryland - IAAI";"Norfolk";$325.00;$275.00
;"SACRAMENTO - California - IAAI";"Los Angeles";$375.00;$250.00
;"SALT LAKE CITY - Utah - IAAI";"Los Angeles";$550.00;$500.00
;"SAN ANTONIO - Texas - IAAI";"Houston";$275.00;
;"SAN ANTONIO-SOUTH - Texas - IAAI";"Houston";$275.00;
;"SAN DIEGO - California - IAAI";"Los Angeles";$175.00;$150.00
;"SAVANNAH - Georgia - IAAI";"Savannah";$100.00;$100.00
;"SCRANTON - Pennsylvania - IAAI";"New York";$250.00;$200.00
;"SEATTLE - Washington - IAAI";"Seattle";$100.00;
;"SHADY SPRING - West Virginia - IAAI";"Norfolk";$575.00;
;"SHREVEPORT - Louisiana - IAAI";"Houston";$290.00;
;"SIOUX FALLS - South Dakota - IAAI";"Chicago";$550.00;$500.00
;"SOUTH BEND - Indiana - IAAI";"Chicago";$200.00;$200.00
;"SOUTHERN NEW JERSEY - New Jersey - IAAI";"New York";$175.00;$150.00
;"SPOKANE - Washington - IAAI";"Seattle";$350.00;
;"SPRINGFIELD - Missouri - IAAI";"Chicago";$375.00;$275.00
;"ST. LOUIS - Illinois - IAAI";"Chicago";$250.00;$200.00
;"SYRACUSE - New York - IAAI";"New York";$350.00;$275.00
;"Suffolk - Virginia - IAAI";"Norfolk";$150.00;$150.00
;"TAMPA - Florida - IAAI";"Miami";$200.00;$200.00
;"TAUNTON - Massachusetts - IAAI";"New York";$350.00;$275.00
;"TIDEWATER - Virginia - IAAI";"Norfolk";$150.00;$150.00
;"TIFTON - Georgia - IAAI";"Savannah";$250.00;$200.00
;"TUCSON - Arizona - IAAI";"Los Angeles";$350.00;$300.00
;"TULSA - Oklahoma - IAAI";"Houston";$450.00;
;"Tampa North - Florida - IAAI";"Miami";$225.00;$225.00
;"WESTERN COLORADO - Colorado - IAAI";"Los Angeles";$650.00;
;"WICHITA - Kansas - IAAI";"Houston";$550.00;
;"WILMINGTON - North Carolina - IAAI";"Norfolk";$350.00;$275.00
;"YORK SPRINGS - Pennsylvania - IAAI";"New York";$300.00;$250.00
"KENBEN INDUSTRIES LTD";"IMPOUND LOT - BROOKLYN, NY - New York - KENBEN INDUSTRIES LTD";"New York";$750.00;
"Manheim";"ALBANY - New York - Manheim";"New York";$275.00;$225.00
;"ARENA ILLINOIS - Illinois - Manheim";"Chicago";$100.00;$100.00
;"ATLANTA - Georgia - Manheim";"Savannah";$225.00;$175.00
;"BALTIMORE-WASHINGTON - Maryland - Manheim";"Norfolk";$275.00;$225.00
;"BIRMINGHAM - Alabama - Manheim";"Savannah";$350.00;$275.00
;"CALIFORNIA - California - Manheim";"Los Angeles";$150.00;$150.00
